1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,value,iso3,lat,lon,name,name_de
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.356,AFG1,48.86,2.35,bmw2.solution.weborama.fr,bmw2.solution.weborama.fr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.378,AFG2,48.86,2.35,cedexis.gccdn.net,cedexis.gccdn.net
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.122,AFG3,52.5,5.75,cntr.adrcntr.com,cntr.adrcntr.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.035,AFG4,48.86,2.35,download.viamichelin.com,download.viamichelin.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.994,AFG5,1.3667,103.8,ec2-ap-southeast-1a.cedexis.com,ec2-ap-southeast-1a.cedexis.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.314,AFG6,32.9299,-96.8353,i1-js-14-3-01-10013-506691926-i.init.cedexis-radar.net,i1-js-14-3-01-10013-506691926-i.init.cedexis-radar.net
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.607,AFG7,48.86,2.35,lemonde.ezakus.net,lemonde.ezakus.net
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.77,AFG8,48.86,2.35,logc2.xiti.com,logc2.xiti.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.724,AFG9,34.0119,-118.4682,media.adrcdn.com,media.adrcdn.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.362,AFG10,39.0437,-77.4875,ping.chartbeat.net,ping.chartbeat.net
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.349,AFG11,47.3333,13.3333,probe.cedexis.org,probe.cedexis.org
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363.734,AFG12,52.5,5.75,probes.cedexis.com,probes.cedexis.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.773,AFG13,38,-97,publi.lemonde.fr,publi.lemonde.fr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.813,AFG14,53,-8,r.254a.com,r.254a.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.736,AFG15,47.5839,-122.2995,radar.cedexis.com,radar.cedexis.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.701,AFG16,33.5083,-112.0717,reports.cedexis.com,reports.cedexis.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.564,AFG17,48.86,2.35,rtb-csync.smartadserver.com,rtb-csync.smartadserver.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.102,AFG18,38,-97,s1.lemde.fr,s1.lemde.fr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.096,AFG19,38,-97,s2.lemde.fr,s2.lemde.fr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.158,AFG20,34.0119,-118.4682,scripts.adrcdn.com,scripts.adrcdn.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.069,AFG21,42.3626,-71.0843,static.chartbeat.com,static.chartbeat.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.204,AFG22,37.7697,-122.3933,static.kameleoon.com,static.kameleoon.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.493,AFG23,48.86,2.35,ww690.smartadserver.com,ww690.smartadserver.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.792,AFG24,37.4192,-122.0574,www.google-analytics.com,www.google-analytics.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.039,AFG25,48.86,2.35,www7.smartadserver.com,www7.smartadserver.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.88,AFG26,37.4192,-122.0574,x.bidswitch.net,x.bidswitch.net
