1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,value,iso3,lat,lon,name,name_de
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.734,AFG1,37.4192,-122.0574,a.visualrevenue.com,a.visualrevenue.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.632,AFG2,37.4192,-122.0574,accounts.google.com,accounts.google.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.806,AFG3,47.3333,13.3333,apis.google.com,apis.google.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.855,AFG4,47.3333,13.3333,b.scorecardresearch.com,b.scorecardresearch.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.287,AFG5,47.3333,13.3333,ced.sascdn.com,ced.sascdn.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.778,AFG6,47,8,connect.facebook.net,connect.facebook.net
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.725,AFG7,37.4192,-122.0574,i1.ytimg.com,i1.ytimg.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3532.837,AFG8,47.3333,13.3333,images.marmitoncdn.org,images.marmitoncdn.org
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,AFG9,48.86,2.35,l.heatmap.it,l.heatmap.it
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.225,AFG10,48.8655,2.3426,network.aufeminin.com,network.aufeminin.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.537,AFG11,37.4192,-122.0574,oauth.googleusercontent.com,oauth.googleusercontent.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.515,AFG12,34.0119,-118.4682,p.visualrevenue.com,p.visualrevenue.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.509,AFG13,39.0437,-77.4875,platform.twitter.com,platform.twitter.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.313,AFG14,37.4192,-122.0574,s.ytimg.com,s.ytimg.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.229,AFG15,47,8,ssl.gstatic.com,ssl.gstatic.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.881,AFG16,48.86,2.35,s-static.ak.facebook.com,s-static.ak.facebook.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.974,AFG17,47.3333,13.3333,static.afcdn.com,static.afcdn.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.497,AFG18,47.3333,13.3333,static.ak.facebook.com,static.ak.facebook.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.406,AFG19,37.4192,-122.0574,static.ak.fbcdn.net,static.ak.fbcdn.net
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.168,AFG20,41.8776,-87.6272,t.visualrevenue.com,t.visualrevenue.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.612,AFG21,39.0437,-77.4875,t1.visualrevenue.com,t1.visualrevenue.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.297,AFG22,48.86,2.35,u.heatmap.it,u.heatmap.it
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.779,AFG23,48.86,2.35,w.estat.com,w.estat.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.444,AFG24,48.8655,2.3426,www.aufeminin.com,www.aufeminin.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.382,AFG25,48.8655,2.3426,www.botalia.com,www.botalia.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.738,AFG26,37.459,-122.1781,www.facebook.com,www.facebook.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.642,AFG27,37.4192,-122.0574,www.google-analytics.com,www.google-analytics.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.124,AFG28,48.86,2.35,www.marmiton.org,www.marmiton.org
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.128,AFG29,37.4192,-122.0574,www.youtube.com,www.youtube.com
